strain	date	data_source	genbank_accession	sra_accessions
A/cattle/CA/24-031096-001-original/2024	2024-10-15	genbank	PQ829109	SRR31254357
A/cattle/CA/24-031096-002-original/2024	2024-10-15	genbank	PQ829117	SRR31254356
A/cattle/CA/24-031096-003-original/2024	2024-10-15	genbank	PQ829125	SRR31254354
A/cattle/CA/24-031096-004-original/2024	2024-10-15	genbank	PQ829133	SRR31254353
A/cattle/CA/24-031097-001-original/2024	2024-10-17	genbank	PQ829141	SRR31254352
A/cattle/CA/24-031097-002-original/2024	2024-10-17	genbank	PQ829149	SRR31254351
A/cattle/CA/24-031156-001-original/2024	2024-10-14	genbank	PQ829157	SRR31254313
A/cattle/CA/24-031278-001-original/2024	2024-10-18	genbank	PQ829165	SRR31254303
A/cattle/CA/24-031278-002-original/2024	2024-10-18	genbank	PQ829173	SRR31254302
A/cattle/CA/24-031313-002-original/2024	2024-10-14	genbank	PQ829181	SRR31254285
A/cattle/CA/24-031313-003-original/2024	2024-10-14	genbank	PQ829189	SRR31254284
A/cattle/CA/24-031313-004-original/2024	2024-10-14	genbank	PQ829197	SRR31254283
A/cattle/CA/24-031340-001-original/2024	2024-10-15	genbank	PQ829205	SRR31347657
A/cattle/CA/24-031340-003-original/2024	2024-10-15	genbank	PQ829213	SRR31347656
A/cattle/CA/24-031340-004-original/2024	2024-10-15	genbank	PQ829221	SRR31347655
A/cattle/CA/24-031340-005-original/2024	2024-10-15	genbank	PQ829229	SRR31347654
A/cattle/CA/24-031618-002-original/2024	2024-10-22	genbank	PQ829237	SRR31254327
A/cattle/CA/24-031626-005-original/2024	2024-10-21	genbank	PQ829245	SRR31347717
A/cattle/CA/24-032016-001-original/2024	2024-10-21	genbank	PQ829253	SRR31347669
A/cattle/CA/24-032016-002-original/2024	2024-10-21	genbank	PQ829261	SRR31347667
A/cattle/CA/24-032016-003-original/2024	2024-10-21	genbank	PQ829269	SRR31347666
A/cattle/CA/24-032030-001-original/2024	2024-10-21	genbank	PQ829277	SRR31347740
A/cattle/CA/24-032045-001-original/2024	2024-10-21	genbank	PQ829285	SRR31347732
A/cattle/CA/24-032658-001-original/2024	2024-10-28	genbank	PQ829293	SRR31597299
A/cattle/CA/24-032658-002-original/2024	2024-10-28	genbank	PQ829301	SRR31597298
A/cattle/CA/24-032668-001-original/2024	2024-10-28	genbank	PQ829309	SRR31597297
A/cattle/CA/24-032775-001-original/2024	2024-10-21	genbank	PQ829317	SRR31597133
A/cattle/CA/24-032775-002-original/2024	2024-10-21	genbank	PQ829325	SRR31597132
A/cattle/CA/24-033681-002-original/2024	2024-10-31	genbank	PQ829333	SRR31605056
A/cattle/CA/24-034643-001-original-repeat/2024	2024-11-13	genbank	PQ829341	SRR31605196
A/cattle/CA/24-034953-002-original-repeat3/2024	2024-11-18	genbank	PQ829349	SRR31821128
A/cattle/CA/24-035196-003-original-repeat3/2024	2024-11-20	genbank	PQ829357	SRR31821127
A/cattle/CA/24-036325-001-original/2024	2024-11-29	genbank	PQ829365	SRR31820794
A/cattle/CA/24-036327-001-original/2024	2024-11-20	genbank	PQ829373	SRR31820888
A/cattle/CA/24-036349-001-original/2024	2024-12-04	genbank	PQ829381	SRR31821214
A/cattle/CA/24-036350-001-original/2024	2024-12-04	genbank	PQ829389	SRR31821203
A/cattle/CA/24-036350-002-original/2024	2024-12-04	genbank	PQ829397	SRR31821126
A/cattle/CA/24-036351-001-original/2024	2024-12-04	genbank	PQ829405	SRR31821115
A/cattle/CA/24-036352-001-original/2024	2024-12-04	genbank	PQ829413	SRR31821104
A/cattle/CA/24-036352-002-original/2024	2024-12-04	genbank	PQ829421	SRR31820997
A/cattle/CA/24-036353-001-original/2024	2024-12-04	genbank	PQ829429	SRR31820986
A/cattle/CA/24-036353-003-original/2024	2024-12-04	genbank	PQ829437	SRR31820975
A/cattle/CA/24-036354-001-original/2024	2024-12-04	genbank	PQ829445	SRR31820868
A/cattle/CA/24-036354-002-original/2024	2024-12-04	genbank	PQ829453	SRR31820857
A/cattle/CA/24-036355-001-original/2024	2024-12-04	genbank	PQ829461	SRR31820846
A/cattle/CA/24-036356-001-original/2024	2024-12-04	genbank	PQ829469	SRR31821091
A/cattle/CA/24-036356-002-original/2024	2024-12-04	genbank	PQ829477	SRR31821079
A/cattle/CA/24-036357-001-original/2024	2024-12-05	genbank	PQ829485	SRR31821068
A/cattle/CA/24-036357-002-original/2024	2024-12-05	genbank	PQ829493	SRR31821185
A/cattle/CA/24-036357-003-original/2024	2024-12-05	genbank	PQ829501	SRR31821174
A/cattle/CA/24-036358-001-original/2024	2024-12-04	genbank	PQ829509	SRR31821163
A/cattle/CA/24-036359-002-original/2024	2024-12-04	genbank	PQ829517	SRR31820960
A/cattle/CA/24-036359-003-original/2024	2024-12-04	genbank	PQ829525	SRR31820949
A/cattle/CA/24-036359-004-original/2024	2024-12-04	genbank	PQ829533	SRR31820938
A/cattle/CA/24-036359-005-original/2024	2024-12-04	genbank	PQ829541	SRR31820831
A/cattle/CA/24-036359-006-original/2024	2024-12-04	genbank	PQ829549	SRR31820820
A/cattle/CA/24-036360-002-original/2024	2024-12-04	genbank	PQ829557	SRR31821064
A/cattle/CA/24-036363-001-original/2024	2024-12-04	genbank	PQ829565	SRR31821053
A/cattle/CA/24-036363-002-original/2024	2024-12-04	genbank	PQ829573	SRR31821042
A/cattle/CA/24-036364-001-original/2024	2024-12-04	genbank	PQ829581	SRR31821159
A/cattle/CA/24-036366-002-original/2024	2024-12-02	genbank	PQ829589	SRR31821148
A/cattle/CA/24-036368-001-original/2024	2024-12-04	genbank	PQ829597	SRR31821137
A/cattle/CA/24-036368-002-original/2024	2024-12-04	genbank	PQ829605	SRR31820934
A/cattle/CA/24-036368-003-original/2024	2024-12-04	genbank	PQ829613	SRR31820923
A/cattle/CA/24-036368-004-original/2024	2024-12-04	genbank	PQ829621	SRR31820912
A/cattle/CA/24-036369-001-original/2024	2024-12-04	genbank	PQ829629	SRR31820805
A/cattle/CA/24-036369-002-original/2024	2024-12-04	genbank	PQ829637	SRR31820793
A/cattle/CA/24-036371-001-original/2024	2024-12-04	genbank	PQ829645	SRR31821226
A/cattle/CA/24-036371-002-original/2024	2024-12-04	genbank	PQ829653	SRR31821027
A/cattle/CA/24-036371-003-original/2024	2024-12-04	genbank	PQ829661	SRR31821016
A/cattle/CA/24-036371-004-original/2024	2024-12-04	genbank	PQ829669	SRR31821005
A/cattle/CA/24-036372-001-original/2024	2024-12-04	genbank	PQ829677	SRR31820904
A/cattle/CA/24-036373-001-original/2024	2024-12-04	genbank	PQ829685	SRR31820903
A/cattle/CA/24-036375-001-original/2024	2024-12-04	genbank	PQ829693	SRR31820902
A/cattle/CA/24-036375-003-original/2024	2024-12-04	genbank	PQ829701	SRR31820901
A/cattle/CA/24-036376-001-original/2024	2024-12-04	genbank	PQ829709	SRR31820900
A/cattle/CA/24-036377-001-original/2024	2024-12-04	genbank	PQ829717	SRR31820898
A/cattle/CA/24-036377-002-original/2024	2024-12-04	genbank	PQ829725	SRR31820897
A/cattle/CA/24-036378-001-original/2024	2024-12-04	genbank	PQ829733	SRR31820896
A/cattle/CA/24-036384-001-original-repeat2/2024	2024-12-03	genbank	PQ829741	SRR31820895
A/cattle/CA/24-036385-002-original/2024	2024-12-03	genbank	PQ829749	SRR31820894
A/cattle/CA/24-036385-003-original/2024	2024-12-03	genbank	PQ829757	SRR31820893
A/cattle/CA/24-036386-001-original/2024	2024-12-04	genbank	PQ829765	SRR31820892
A/cattle/CA/24-036389-003-original/2024	2024-12-04	genbank	PQ829773	SRR31820889
A/cattle/CA/24-036390-001-original/2024	2024-12-04	genbank	PQ829781	SRR31820887
A/cattle/CA/24-036391-001-original/2024	2024-12-04	genbank	PQ829789	SRR31820886
A/cattle/CA/24-036391-002-original/2024	2024-12-04	genbank	PQ829797	SRR31820885
A/cattle/CA/24-036392-002-original/2024	2024-12-02	genbank	PQ829805	SRR31820884
A/cattle/CA/24-036394-001-original/2024	2024-12-04	genbank	PQ829813	SRR31820883
A/cattle/CA/24-036394-002-original/2024	2024-12-04	genbank	PQ829821	SRR31820882
A/cattle/CA/24-036395-001-original/2024	2024-12-04	genbank	PQ829829	SRR31820881
A/cattle/CA/24-036395-002-original/2024	2024-12-04	genbank	PQ829837	SRR31820880
A/cattle/CA/24-036395-003-original/2024	2024-12-04	genbank	PQ829845	SRR31820879
A/cattle/CA/24-036395-004-original/2024	2024-12-04	genbank	PQ829853	SRR31820878
A/cattle/CA/24-036395-005-original/2024	2024-12-04	genbank	PQ829861	SRR31820876
A/cattle/CA/24-036396-001-original/2024	2024-12-04	genbank	PQ829869	SRR31820875
A/cattle/CA/24-036396-002-original/2024	2024-12-04	genbank	PQ829877	SRR31820874
A/cattle/CA/24-036396-003-original/2024	2024-12-04	genbank	PQ829885	SRR31820873
A/cattle/CA/24-036397-001-original/2024	2024-12-04	genbank	PQ829893	SRR31821220
A/cattle/CA/24-036397-002-original/2024	2024-12-04	genbank	PQ829901	SRR31821219
A/cattle/CA/24-036398-001-original/2024	2024-12-04	genbank	PQ829909	SRR31821218
A/cattle/CA/24-036398-002-original/2024	2024-12-04	genbank	PQ829917	SRR31821217
A/cattle/CA/24-036399-001-original/2024	2024-12-04	genbank	PQ829925	SRR31821216
A/cattle/CA/24-036400-001-original/2024	2024-12-04	genbank	PQ829933	SRR31821215
A/cattle/CA/24-036401-002-original/2024	2024-12-04	genbank	PQ829941	SRR31821213
A/cattle/CA/24-036402-001-original/2024	2024-12-04	genbank	PQ829949	SRR31821212
A/cattle/CA/24-036403-001-original/2024	2024-12-04	genbank	PQ829957	SRR31821211
A/cattle/CA/24-036403-002-original/2024	2024-12-04	genbank	PQ829965	SRR31821210
A/cattle/CA/24-036403-003-original/2024	2024-12-04	genbank	PQ829973	SRR31821209
A/cattle/CA/24-036403-004-original/2024	2024-12-04	genbank	PQ829981	SRR31821208
A/cattle/CA/24-036405-001-original/2024	2024-12-04	genbank	PQ829989	SRR31821207
A/cattle/CA/24-036405-002-original/2024	2024-12-04	genbank	PQ829997	SRR31821206
A/cattle/CA/24-036405-003-original/2024	2024-12-04	genbank	PQ830005	SRR31821205
A/cattle/CA/24-036405-004-original/2024	2024-12-04	genbank	PQ830013	SRR31821204
A/cattle/CA/24-036407-001-original/2024	2024-12-04	genbank	PQ830021	SRR31821202
A/cattle/CA/24-036408-001-original/2024	2024-12-04	genbank	PQ830029	SRR31821201
A/cattle/CA/24-036409-001-original/2024	2024-12-04	genbank	PQ830037	SRR31821200
A/cattle/CA/24-036411-001-original/2024	2024-12-04	genbank	PQ830045	SRR31821199
A/cattle/CA/24-036411-002-original/2024	2024-12-04	genbank	PQ830053	SRR31821198
A/cattle/CA/24-036411-003-original/2024	2024-12-04	genbank	PQ830061	SRR31821197
A/cattle/CA/24-036411-004-original/2024	2024-12-04	genbank	PQ830069	SRR31821196
A/cattle/CA/24-036412-001-original/2024	2024-12-04	genbank	PQ830077	SRR31821195
A/cattle/CA/24-036413-002-original/2024	2024-12-04	genbank	PQ830085	SRR31821194
A/cattle/CA/24-036413-003-original/2024	2024-12-04	genbank	PQ830093	SRR31821193
A/cattle/CA/24-036415-001-original/2024	2024-12-04	genbank	PQ830101	SRR31821125
A/cattle/CA/24-036416-001-original/2024	2024-12-04	genbank	PQ830109	SRR31821124
A/cattle/CA/24-036416-002-original/2024	2024-12-04	genbank	PQ830117	SRR31821123
A/cattle/CA/24-036417-001-original/2024	2024-12-04	genbank	PQ830125	SRR31821122
A/cattle/CA/24-036418-001-original/2024	2024-12-04	genbank	PQ830133	SRR31821121
A/cattle/CA/24-036420-001-original/2024	2024-12-04	genbank	PQ830141	SRR31821120
A/cattle/CA/24-036421-001-original/2024	2024-12-04	genbank	PQ830149	SRR31821119
A/cattle/CA/24-036422-001-original/2024	2024-12-03	genbank	PQ830157	SRR31821118
A/cattle/CA/24-036423-002-original/2024	2024-12-04	genbank	PQ830165	SRR31821117
A/cattle/CA/24-036424-001-original/2024	2024-12-04	genbank	PQ830173	SRR31821116
A/cattle/CA/24-036426-001-original/2024	2024-12-04	genbank	PQ830181	SRR31821114
A/cattle/CA/24-036426-002-original/2024	2024-12-04	genbank	PQ830189	SRR31821113
A/cattle/CA/24-036494-001-original/2024	2024-12-04	genbank	PQ830197	SRR31821112
A/cattle/CA/24-036520-001-original/2024	2024-12-03	genbank	PQ830205	SRR31821111
A/cattle/CA/24-036521-001-original/2024	2024-12-03	genbank	PQ830213	SRR31821110
A/cattle/CA/24-036522-001-original/2024	2024-12-04	genbank	PQ830221	SRR31821109
A/cattle/CA/24-036531-001-original/2024	2024-12-03	genbank	PQ830229	SRR31821108
A/cattle/CA/24-036532-001-original/2024	2024-12-03	genbank	PQ830237	SRR31821107
A/cattle/CA/24-036533-001-original/2024	2024-12-03	genbank	PQ830245	SRR31821106
A/cattle/CA/24-036535-001-original/2024	2024-12-03	genbank	PQ830253	SRR31821105
A/cattle/CA/24-036535-003-original/2024	2024-12-03	genbank	PQ830261	SRR31821103
A/cattle/CA/24-036536-001-original/2024	2024-12-03	genbank	PQ830269	SRR31821102
A/cattle/CA/24-036536-002-original/2024	2024-12-03	genbank	PQ830277	SRR31821101
A/cattle/CA/24-036537-002-original/2024	2024-12-03	genbank	PQ830285	SRR31821100
A/cattle/CA/24-036537-003-original/2024	2024-12-03	genbank	PQ830293	SRR31821099
A/cattle/CA/24-036538-001-original/2024	2024-12-03	genbank	PQ830301	SRR31821098
A/cattle/CA/24-036538-002-original/2024	2024-12-03	genbank	PQ830309	SRR31821097
A/cattle/CA/24-036540-001-original/2024	2024-12-03	genbank	PQ830317	SRR31821000
A/cattle/CA/24-036540-002-original/2024	2024-12-03	genbank	PQ830325	SRR31820999
A/cattle/CA/24-036541-001-original/2024	2024-12-03	genbank	PQ830333	SRR31820998
A/cattle/CA/24-036542-001-original/2024	2024-12-03	genbank	PQ830341	SRR31820996
A/cattle/CA/24-036542-002-original/2024	2024-12-03	genbank	PQ830349	SRR31820995
A/cattle/CA/24-036542-003-original/2024	2024-12-03	genbank	PQ830357	SRR31820994
A/cattle/CA/24-036542-004-original/2024	2024-12-03	genbank	PQ830365	SRR31820993
A/cattle/CA/24-036542-005-original/2024	2024-12-03	genbank	PQ830373	SRR31820992
A/cattle/CA/24-036542-006-original/2024	2024-12-03	genbank	PQ830381	SRR31820991
A/cattle/CA/24-036542-007-original/2024	2024-12-03	genbank	PQ830389	SRR31820990
A/cattle/CA/24-036544-001-original/2024	2024-12-03	genbank	PQ830397	SRR31820989
A/cattle/CA/24-036545-003-original/2024	2024-12-03	genbank	PQ830405	SRR31820988
A/cattle/CA/24-036545-004-original/2024	2024-12-03	genbank	PQ830413	SRR31820987
A/cattle/CA/24-036545-005-original/2024	2024-12-03	genbank	PQ830421	SRR31820985
A/cattle/CA/24-036545-006-original/2024	2024-12-03	genbank	PQ830429	SRR31820984
A/cattle/CA/24-036546-001-original/2024	2024-12-03	genbank	PQ830437	SRR31820983
A/cattle/CA/24-036548-001-original/2024	2024-12-04	genbank	PQ830445	SRR31820982
A/cattle/CA/24-036549-001-original/2024	2024-12-04	genbank	PQ830453	SRR31820981
A/cattle/CA/24-036549-002-original/2024	2024-12-04	genbank	PQ830461	SRR31820980
A/cattle/CA/24-036550-002-original/2024	2024-12-04	genbank	PQ830469	SRR31820979
A/cattle/CA/24-036550-003-original/2024	2024-12-04	genbank	PQ830477	SRR31820978
A/cattle/CA/24-036550-004-original/2024	2024-12-04	genbank	PQ830485	SRR31820977
A/cattle/CA/24-036553-001-original/2024	2024-12-05	genbank	PQ830493	SRR31820974
A/cattle/CA/24-036553-002-original/2024	2024-12-05	genbank	PQ830501	SRR31820973
A/cattle/CA/24-036553-003-original/2024	2024-12-05	genbank	PQ830509	SRR31820972
A/cattle/CA/24-036553-004-original/2024	2024-12-05	genbank	PQ830517	SRR31820971
A/cattle/CA/24-036553-005-original/2024	2024-12-05	genbank	PQ830525	SRR31820970
A/cattle/CA/24-036553-006-original/2024	2024-12-05	genbank	PQ830533	SRR31820969
A/cattle/CA/24-036559-001-original/2024	2024-12-03	genbank	PQ830541	SRR31820872
A/cattle/CA/24-036559-002-original/2024	2024-12-03	genbank	PQ830549	SRR31820871
A/cattle/CA/24-036559-003-original/2024	2024-12-03	genbank	PQ830557	SRR31820870
A/cattle/CA/24-036561-001-original/2024	2024-12-03	genbank	PQ830565	SRR31820869
A/cattle/CA/24-036562-001-original/2024	2024-12-03	genbank	PQ830573	SRR31820867
A/cattle/CA/24-036562-002-original/2024	2024-12-03	genbank	PQ830581	SRR31820866
A/cattle/CA/24-036563-001-original/2024	2024-12-03	genbank	PQ830589	SRR31820865
A/cattle/CA/24-036563-002-original/2024	2024-12-03	genbank	PQ830597	SRR31820864
A/cattle/CA/24-036563-003-original/2024	2024-12-03	genbank	PQ830605	SRR31820863
A/cattle/CA/24-036563-004-original/2024	2024-12-03	genbank	PQ830613	SRR31820862
A/cattle/CA/24-036563-006-original/2024	2024-12-03	genbank	PQ830621	SRR31820861
A/cattle/CA/24-036563-008-original/2024	2024-12-03	genbank	PQ830629	SRR31820860
A/cattle/CA/24-036564-001-original/2024	2024-12-03	genbank	PQ830637	SRR31820859
A/cattle/CA/24-036566-001-original/2024	2024-12-03	genbank	PQ830645	SRR31820858
A/cattle/CA/24-036567-001-original/2024	2024-12-03	genbank	PQ830653	SRR31820856
A/cattle/CA/24-036567-002-original/2024	2024-12-03	genbank	PQ830661	SRR31820855
A/cattle/CA/24-036567-003-original/2024	2024-12-03	genbank	PQ830669	SRR31820854
A/cattle/CA/24-036567-004-original/2024	2024-12-03	genbank	PQ830677	SRR31820853
A/cattle/CA/24-036568-001-original/2024	2024-12-03	genbank	PQ830685	SRR31820852
A/cattle/CA/24-036568-002-original/2024	2024-12-03	genbank	PQ830693	SRR31820851
A/cattle/CA/24-036568-003-original/2024	2024-12-03	genbank	PQ830701	SRR31820850
A/cattle/CA/24-036568-004-original/2024	2024-12-03	genbank	PQ830709	SRR31820849
A/cattle/CA/24-036569-001-original/2024	2024-12-03	genbank	PQ830717	SRR31820848
A/cattle/CA/24-036570-001-original/2024	2024-12-03	genbank	PQ830725	SRR31820847
A/cattle/CA/24-036571-002-original/2024	2024-12-05	genbank	PQ830733	SRR31820845
A/cattle/CA/24-036572-001-original/2024	2024-12-05	genbank	PQ830741	SRR31820844
A/cattle/CA/24-036576-001-original/2024	2024-12-03	genbank	PQ830749	SRR31820843
A/cattle/CA/24-036579-001-original/2024	2024-12-03	genbank	PQ830765	SRR31820841
A/cattle/CA/24-036579-002-original/2024	2024-12-03	genbank	PQ830773	SRR31821096
A/cattle/CA/24-036579-003-original/2024	2024-12-03	genbank	PQ830781	SRR31821095
A/cattle/CA/24-036579-004-original/2024	2024-12-03	genbank	PQ830789	SRR31821094
A/cattle/CA/24-036579-005-original/2024	2024-12-03	genbank	PQ830797	SRR31821093
A/cattle/CA/24-036581-002-original/2024	2024-12-03	genbank	PQ830805	SRR31821092
A/cattle/CA/24-036581-003-original/2024	2024-12-03	genbank	PQ830813	SRR31821090
A/cattle/CA/24-036581-004-original/2024	2024-12-03	genbank	PQ830821	SRR31821089
A/cattle/CA/24-036581-006-original/2024	2024-12-03	genbank	PQ830829	SRR31821088
A/cattle/CA/24-036581-007-original/2024	2024-12-03	genbank	PQ830837	SRR31821087
A/cattle/CA/24-036586-001-original/2024	2024-12-03	genbank	PQ830845	SRR31821086
A/cattle/CA/24-036587-001-original/2024	2024-12-03	genbank	PQ830853	SRR31821085
A/cattle/CA/24-036588-001-original/2024	2024-12-03	genbank	PQ830861	SRR31821084
A/cattle/CA/24-036588-002-original/2024	2024-12-03	genbank	PQ830869	SRR31821083
A/cattle/CA/24-036589-001-original/2024	2024-12-03	genbank	PQ830877	SRR31821082
A/cattle/CA/24-036593-001-original/2024	2024-12-03	genbank	PQ830885	SRR31821081
A/cattle/CA/24-036593-002-original/2024	2024-12-03	genbank	PQ830893	SRR31821078
A/cattle/CA/24-036632-001-original/2024	2024-11-20	genbank	PQ830901	SRR31821077
A/cattle/CA/24-036635-002-original/2024	2024-12-03	genbank	PQ830909	SRR31821073
A/cattle/CA/24-036635-003-original/2024	2024-12-03	genbank	PQ830917	SRR31821072
A/cattle/CA/24-036635-004-original/2024	2024-12-03	genbank	PQ830925	SRR31821071
A/cattle/CA/24-036635-007-original/2024	2024-12-03	genbank	PQ830933	SRR31821070
A/cattle/CA/24-036638-001-original/2024	2024-11-26	genbank	PQ830941	SRR31821069
A/cattle/CA/24-036638-002-original/2024	2024-11-26	genbank	PQ830949	SRR31821067
A/cattle/CA/24-036638-003-original/2024	2024-11-26	genbank	PQ830957	SRR31821066
A/cattle/CA/24-036640-001-original/2024	2024-11-27	genbank	PQ830965	SRR31821065
A/cattle/CA/24-036640-002-original/2024	2024-11-27	genbank	PQ830973	SRR31821192
A/cattle/CA/24-036640-003-original/2024	2024-11-27	genbank	PQ830981	SRR31821191
A/cattle/CA/24-036757-003-original/2024	2024-11-30	genbank	PQ830989	SRR31821179
A/cattle/CA/24-036759-001-original/2024	2024-12-03	genbank	PQ830997	SRR31821178
A/cattle/CA/24-036759-002-original/2024	2024-12-03	genbank	PQ831005	SRR31821177
A/cattle/CA/24-036760-002-original/2024	2024-12-02	genbank	PQ831013	SRR31821176
A/cattle/CA/24-036763-001-original/2024	2024-12-02	genbank	PQ831021	SRR31821175
A/cattle/CA/24-036763-002-original/2024	2024-12-02	genbank	PQ831029	SRR31821173
A/cattle/CA/24-036763-003-original/2024	2024-12-02	genbank	PQ831037	SRR31821172
A/cattle/CA/24-036765-002-original/2024	2024-12-02	genbank	PQ831045	SRR31821171
A/cattle/CA/24-036765-003-original/2024	2024-12-02	genbank	PQ831053	SRR31821170
A/cattle/CA/24-036766-001-original/2024	2024-12-01	genbank	PQ831061	SRR31821169
A/cattle/CA/24-036766-003-original/2024	2024-12-01	genbank	PQ831069	SRR31821168
A/cattle/CA/24-036767-001-original/2024	2024-11-29	genbank	PQ831077	SRR31821167
A/cattle/CA/24-036767-002-original/2024	2024-11-29	genbank	PQ831085	SRR31821166
A/cattle/CA/24-036768-001-original/2024	2024-11-30	genbank	PQ831093	SRR31821165
A/cattle/CA/24-036768-002-original/2024	2024-11-30	genbank	PQ831101	SRR31821164
A/cattle/CA/24-036769-001-original/2024	2024-11-30	genbank	PQ831109	SRR31821162
A/cattle/CA/24-036769-002-original/2024	2024-11-30	genbank	PQ831117	SRR31821161
A/cattle/CA/24-036769-003-original/2024	2024-11-30	genbank	PQ831125	SRR31820968
A/cattle/CA/24-036770-001-original/2024	2024-11-29	genbank	PQ831133	SRR31820967
A/cattle/CA/24-036770-002-original/2024	2024-11-29	genbank	PQ831141	SRR31820966
A/cattle/CA/24-036770-003-original/2024	2024-11-29	genbank	PQ831149	SRR31820965
A/cattle/CA/24-036771-001-original/2024	2024-11-27	genbank	PQ831157	SRR31820964
A/cattle/CA/24-036774-001-original/2024	2024-12-02	genbank	PQ831165	SRR31820963
A/cattle/CA/24-036774-002-original/2024	2024-12-02	genbank	PQ831173	SRR31820962
A/cattle/CA/24-036816-001-original/2024	2024-12-05	genbank	PQ831181	SRR31820961
A/cattle/CA/24-036817-001-original/2024	2024-11-26	genbank	PQ831189	SRR31820959
A/cattle/CA/24-036819-003-original/2024	2024-11-28	genbank	PQ831197	SRR31820958
A/cattle/CA/24-037018-001-original/2024	2024-10-30	genbank	PQ831205	SRR31820955
A/cattle/CA/24-037018-002-original/2024	2024-10-30	genbank	PQ831213	SRR31820954
A/cattle/CA/24-037018-003-original/2024	2024-10-30	genbank	PQ831221	SRR31820953
A/cattle/CA/24-037024-001-original/2024	2024-12-09	genbank	PQ831229	SRR31820952
A/cattle/CA/24-037034-001-original/2024	2024-12-09	genbank	PQ831237	SRR31820951
A/cattle/CA/24-037049-001-original/2024	2024-12-09	genbank	PQ831245	SRR31820950
A/cattle/CA/24-037050-001-original/2024	2024-12-09	genbank	PQ831253	SRR31820948
A/cattle/CA/24-037050-002-original/2024	2024-12-09	genbank	PQ831261	SRR31820947
A/cattle/CA/24-037050-003-original/2024	2024-12-09	genbank	PQ831269	SRR31820946
A/cattle/CA/24-037057-001-original/2024	2024-12-09	genbank	PQ831277	SRR31820945
A/cattle/CA/24-037162-001-original/2024	2024-12-09	genbank	PQ831285	SRR31820944
A/cattle/CA/24-037164-001-original/2024	2024-12-09	genbank	PQ831293	SRR31820943
A/cattle/CA/24-037164-002-original/2024	2024-12-09	genbank	PQ831301	SRR31820942
A/cattle/CA/24-037165-001-original/2024	2024-12-09	genbank	PQ831309	SRR31820941
A/cattle/CA/24-037166-001-original/2024	2024-12-09	genbank	PQ831317	SRR31820940
A/cattle/CA/24-037168-001-original/2024	2024-12-10	genbank	PQ831325	SRR31820939
A/cattle/CA/24-037168-002-original/2024	2024-12-10	genbank	PQ831333	SRR31820937
A/cattle/CA/24-037168-003-original/2024	2024-12-10	genbank	PQ831341	SRR31820840
A/cattle/CA/24-037168-004-original/2024	2024-12-10	genbank	PQ831349	SRR31820839
A/cattle/CA/24-037168-005-original/2024	2024-12-10	genbank	PQ831357	SRR31820838
A/cattle/CA/24-037168-006-original/2024	2024-12-10	genbank	PQ831365	SRR31820837
A/cattle/CA/24-037168-007-original/2024	2024-12-10	genbank	PQ831373	SRR31820836
A/cattle/CA/24-037172-001-original/2024	2024-12-10	genbank	PQ831381	SRR31820835
A/cattle/CA/24-037172-002-original/2024	2024-12-10	genbank	PQ831389	SRR31820834
A/cattle/CA/24-037173-001-original/2024	2024-12-10	genbank	PQ831397	SRR31820833
A/cattle/CA/24-037175-001-original/2024	2024-12-10	genbank	PQ831405	SRR31820832
A/cattle/CA/24-037175-002-original/2024	2024-12-10	genbank	PQ831413	SRR31820830
A/cattle/CA/24-037175-003-original/2024	2024-12-10	genbank	PQ831421	SRR31820829
A/cattle/CA/24-037175-004-original/2024	2024-12-10	genbank	PQ831429	SRR31820828
A/cattle/CA/24-037176-001-original/2024	2024-12-10	genbank	PQ831437	SRR31820827
A/cattle/CA/24-037177-001-original/2024	2024-12-10	genbank	PQ831445	SRR31820826
A/cattle/CA/24-037177-002-original/2024	2024-12-10	genbank	PQ831453	SRR31820825
A/cattle/CA/24-037179-001-original/2024	2024-12-10	genbank	PQ831461	SRR31820824
A/cattle/CA/24-037179-002-original/2024	2024-12-10	genbank	PQ831469	SRR31820823
A/cattle/CA/24-037188-001-original/2024	2024-12-10	genbank	PQ831477	SRR31820822
A/cattle/CA/24-037188-002-original/2024	2024-12-10	genbank	PQ831485	SRR31820821
A/cattle/CA/24-037188-003-original/2024	2024-12-10	genbank	PQ831493	SRR31820819
A/cattle/CA/24-037188-004-original/2024	2024-12-10	genbank	PQ831501	SRR31820818
A/cattle/CA/24-037190-001-original/2024	2024-12-10	genbank	PQ831509	SRR31820817
A/cattle/CA/24-037190-002-original/2024	2024-12-10	genbank	PQ831517	SRR31820816
A/cattle/CA/24-037190-005-original/2024	2024-12-10	genbank	PQ831525	SRR31820815
A/cattle/CA/24-037190-006-original/2024	2024-12-10	genbank	PQ831533	SRR31820814
A/cattle/CA/24-037192-001-original/2024	2024-11-26	genbank	PQ831541	SRR31820813
A/cattle/CA/24-037193-001-original/2024	2024-11-26	genbank	PQ831549	SRR31820812
A/cattle/CA/24-037194-001-original/2024	2024-11-26	genbank	PQ831557	SRR31820811
A/cattle/CA/24-037195-001-original/2024	2024-11-25	genbank	PQ831565	SRR31820810
A/cattle/CA/24-037202-002-original/2024	2024-12-02	genbank	PQ831605	SRR31821059
A/cattle/CA/24-037202-003-original/2024	2024-12-02	genbank	PQ831613	SRR31821058
A/cattle/CA/24-037202-004-original/2024	2024-12-02	genbank	PQ831621	SRR31821057
